veh id,manufacturer,nameplate,model,CVCM class,EPA class,fleet type,fuel type,footprint,baseline price,baseline mpg,baseline sales,predicted mpg
1,HONDA,Acura,MDX 4WD,11,SUV,T,G,50.8,45706.2,22.0527,57380,23.0111
2,HONDA,Acura,RDX,11,SUV,T,G,45.1,34588.2,24.1745,21271,26.4577474856571
3,HONDA,Acura,RL,4,MIDSIZE CARS,C,G,47.6,47934.9,24.5629,5132,23.7738
4,HONDA,Acura,TL,4,MIDSIZE CARS,C,G,47.8,35217.8162200282,27.0682371334018,56720,26.8841916376939
5,HONDA,Acura,TSX,3,COMPACT CARS,C,G,46,29483.1,29.8551728111155,21996,31.8716533652926
6,Aston Martin,Aston Martin,DB9,19,SUBCOMPACT CARS,C,G,46.1572222222222,175064.842105263,16.8501849083327,323,19.5372733708416
7,Aston Martin,Aston Martin,V8 Vantage,19,COMPACT CARS,C,G,43.9539930555556,113526,19.5327983951856,1047,19.9796168896723
8,VOLKSWAGEN,Audi,A3,8,SMALL STATION WAGONS,C,G,42.1888291666667,27239.1,32.2334117402585,4696,37.9511869723953
9,VOLKSWAGEN,Audi,A3 Quattro,3,SMALL STATION WAGONS,C,G,42.1888291666667,36403.8,27.2385,682,30.9119
10,VOLKSWAGEN,Audi,A4,3,COMPACT CARS,C,G,43.1208125,30402.7491742187,31.7139140556765,11807,34.1144
11,VOLKSWAGEN,Audi,A4 Avant Quattro,3,SMALL STATION WAGONS,C,G,43.1208125,33870.7226524685,28.8484909551181,3099,30.2463
12,VOLKSWAGEN,Audi,A4 Cabriolet,2,SUBCOMPACT CARS,C,G,43.1208125,41335.5,31.8203,2166,34.1144
13,VOLKSWAGEN,Audi,A4 Cabriolet Quattro,2,SUBCOMPACT CARS,C,G,43.1208125,44924.7703583062,28.0773847275554,2763,29.9422
14,VOLKSWAGEN,Audi,A4 Quattro,3,COMPACT CARS,C,G,43.1208125,32875.3295672974,28.8093895808131,23411,30.6411709846895
15,VOLKSWAGEN,Audi,A5 Quattro,2,SUBCOMPACT CARS,C,G,46.8923958333333,41488.5,26.6830195880222,1817,30.1053428423456
16,VOLKSWAGEN,Audi,A6,4,MIDSIZE CARS,C,G,49.4202041666667,44599.5,27.8168,2390,28.184
17,VOLKSWAGEN,Audi,A6 Avant Quattro,4,MIDSIZE STATION WAGONS,C,G,49.4202041666667,50770.5,25.4028,1118,26.2052
18,VOLKSWAGEN,Audi,A6 Quattro,4,MIDSIZE CARS,C,G,49.4202041666667,49079.8886205485,25.6117160817217,12215,26.1370370578263
19,VOLKSWAGEN,Audi,A8,4,MIDSIZE CARS,C,G,51.1891666666667,72894.3,23.8878,509,23.784
20,VOLKSWAGEN,Audi,A8 L,19,LARGE CARS,C,G,51.1891666666667,78376.3644324324,23.7234164118934,1850,23.784
21,VOLKSWAGEN,Audi,Q7,11,SUV,T,G,54.0703575697424,50321.6350131267,20.0465749210163,15617,21.8339059845775
22,VOLKSWAGEN,Audi,R8,19,TWO SEATERS,C,G,46.5862430555556,112200,18.8539110154616,572,18.0917218486494
23,VOLKSWAGEN,Audi,S4,3,COMPACT CARS,C,G,43.2555666666667,51206.0272933182,20.3659867719768,883,25.9902709382935
24,VOLKSWAGEN,Audi,S4 Cabriolet,2,SUBCOMPACT CARS,C,G,43.2555666666667,59512.793814433,20.3931798876735,291,24.7961
25,VOLKSWAGEN,Audi,S5,2,SUBCOMPACT CARS,C,G,46.8923958333333,52300.5,21.502279255361,1340,23.2283111649543
26,VOLKSWAGEN,Audi,S6,4,MIDSIZE CARS,C,G,49.4202041666667,74587.5,20.4789,928,20.4789
27,VOLKSWAGEN,Audi,TT Coupe,2,SUBCOMPACT CARS,C,G,40.2471805555556,39143.6264367816,30.1490827838749,4437,31.6158
28,VOLKSWAGEN,Audi,TT Roadster,1,TWO SEATERS,C,G,40.2471805555556,41736.5820189274,29.3041742909264,3487,31.6158
29,VOLKSWAGEN,Bentley,Azure,19,COMPACT CARS,C,G,53.7920208333333,339236.7,14.4485,127,14.4504
30,VOLKSWAGEN,Bentley,Continental Flying Spur,19,MIDSIZE CARS,C,G,47.7441666666667,179713.8,15.7646,688,15.8042
31,VOLKSWAGEN,Bentley,Continental GT,19,COMPACT CARS,C,G,47.7441666666667,182156.7,16.1613,710,16.1613
32,VOLKSWAGEN,Bentley,Continental GTC,19,SUBCOMPACT CARS,C,G,47.7441666666667,200516.7,15.7646,1671,15.8042
33,BMW,BMW,128i,2,SUBCOMPACT CARS,C,G,42.9,30625.5,28.6159093554985,2445,28.196747935557
34,BMW,BMW,128i Convertible,2,SUBCOMPACT CARS,C,G,42.9,35317.5,27.7764024219943,3745,27.7583404653109
35,BMW,BMW,135i,2,SUBCOMPACT CARS,C,G,42.9,37153.5,26.4149794522935,3025,26.840963746095
36,BMW,BMW,135i Convertible,2,SUBCOMPACT CARS,C,G,42.9,41539.5,26.4544897296079,2672,26.3415787948888
37,BMW,BMW,328Ci,2,SUBCOMPACT CARS,C,G,44.8,36796.5,28.6315291980355,7822,28.1779932214969
38,BMW,BMW,328Ci Convertible,2,SUBCOMPACT CARS,C,G,44.8,44854.5,27.5892836895614,10389,27.6784538629104
39,BMW,BMW,328CXi,2,SUBCOMPACT CARS,C,G,44.8,38632.5,26.3290617901946,4122,26.3447908878922
40,BMW,BMW,328i,3,COMPACT CARS,C,G,44.8,33838.5,28.6406187490978,41659,28.1669234462417
41,BMW,BMW,328i sport wagon,3,SMALL STATION WAGONS,C,G,44.8,35674.5,27.5228016420877,607,27.5161041693919
42,BMW,BMW,328Xi,3,COMPACT CARS,C,G,44.8,35776.5,26.3753879738351,16031,26.3808004987335
43,BMW,BMW,328Xi sport wagon,3,SMALL STATION WAGONS,C,G,44.8,37612.5,26.3260895586061,1108,26.2820937270051
44,BMW,BMW,335Ci,2,SUBCOMPACT CARS,C,G,44.8,42406.5,26.4654866772811,7519,26.3610069825408
45,BMW,BMW,335Ci Convertible,2,SUBCOMPACT CARS,C,G,44.8,50872.5,26.4524501241213,9926,26.3354778709187
46,BMW,BMW,335CXi,2,SUBCOMPACT CARS,C,G,44.8,44242.5,25.5802507336824,4156,25.4368619889094
47,BMW,BMW,335i,3,COMPACT CARS,C,G,44.8,40468.5,26.4516955599627,12297,26.3400720665281
48,BMW,BMW,335Xi,3,COMPACT CARS,C,G,44.8,42406.5,25.5625063346397,5720,25.4419202393659
49,BMW,BMW,528i,4,MIDSIZE CARS,C,G,48.8,45976.5,27.699517560312,26596,27.7229363238647
50,BMW,BMW,528Xi,4,MIDSIZE CARS,C,G,48.8,48220.5,26.4238285971024,12242,26.4277473494919
51,BMW,BMW,535i,4,MIDSIZE CARS,C,G,48.8,51178.5,26.4462335193592,17581,26.331575664089
52,BMW,BMW,535Xi,4,MIDSIZE CARS,C,G,48.8,53422.5,25.5407052583727,13104,25.4543267339765
53,BMW,BMW,535Xi sport wagon,4,MIDSIZE STATION WAGONS,C,G,48.7,55870.5,24.7036799729845,2360,24.7118304506334
54,BMW,BMW,550i,4,MIDSIZE CARS,C,G,48.8,60460.5,23.1216623664549,7512,23.2005068778937
55,BMW,BMW,650Ci,19,SUBCOMPACT CARS,C,G,47.1,76984.5,23.1149420982724,1956,23.2221247980617
56,BMW,BMW,650Ci Convertible,19,SUBCOMPACT CARS,C,G,47.1,84124.5,22.99225143361,4096,22.8903833421536
57,BMW,BMW,750i,19,LARGE CARS,C,G,51,78106.5,23.1018,3060,22.1784
58,BMW,BMW,750Li,19,LARGE CARS,C,G,53.4,81268.5,23.1018,10432,21.4734
59,BMW,BMW,760Li,19,LARGE CARS,C,G,53.4,125842.5,19.5981,107,19.7983
60,BMW,BMW,M3,3,COMPACT CARS,C,G,45.7,54876,20.8118090814362,1984,20.699255927782
61,BMW,BMW,M3 Convertible,2,SUBCOMPACT CARS,C,G,45.7,66249,20.1809282740021,2319,20.2198412547399
62,BMW,BMW,M3 Coupe,2,SUBCOMPACT CARS,C,G,45.7,57630,20.7589179714886,3551,20.703877336185
63,BMW,BMW,M5,19,MIDSIZE CARS,C,G,48.9,85348.5,16.3498758000321,2666,16.4061059835584
64,BMW,BMW,M6,19,SUBCOMPACT CARS,C,G,47.2,102076.5,16.3551090709906,591,16.4161948527242
65,BMW,BMW,M6 Convertible,19,SUBCOMPACT CARS,C,G,47.2,107992.5,16.3247163092724,956,16.3372512757468
66,BMW,BMW,X3 3.0si,11,SUV,T,G,46.1,39550.5,25.4164189350004,21033,25.4166675095145
67,BMW,BMW,X5 3.0si,11,SUV,T,G,52,47608.5,22.8058,25328,22.8058
68,BMW,BMW,X5 4.8i,11,SUV,T,G,52,56380.5,20.1373,11081,20.1874
69,BMW,BMW,X6 xDrive35i,11,SUV,T,G,52.9,53550,21.4713,3238,22.2301
70,BMW,BMW,X6 xDrive50i,11,SUV,T,G,52.9,64260,18.5857,644,18.9099
71,BMW,BMW,Z4 3.0,1,TWO SEATERS,C,G,40.2,40267.9126394052,28.6187212269641,5380,28.2023001041742
72,BMW,BMW,Z4 M,1,TWO SEATERS,C,G,40.3,52611.6,23.3905,500,25.9535380593572
73,Volkswagen,Bugatti,Veyron,19,LARGE CARS,C,G,50.9047916666667,1734000,12,18,12.0228
74,GENERAL MOTORS,Buick,Enclave AWD,11,SUV,T,G,55.6,36607.8,22.068,27656,22.9863
75,GENERAL MOTORS,Buick,Enclave FWD,11,SUV,T,G,55.6,34567.8,24.5122,35589,24.7831
76,GENERAL MOTORS,Buick,LaCrosse/Allure,9,MIDSIZE CARS,C,G,48.4,25932.5220776435,25.5775703542229,41961,26.0605276182548
77,GENERAL MOTORS,Buick,Lucerne,5,LARGE CARS,C,G,50.4,29554.5237578838,25.4030735873884,66117,26.1328708007009
78,GENERAL MOTORS,Cadillac,CTS,4,MIDSIZE CARS,C,G,49,33649.8,25.7045156944083,42094,26.9667269020932
79,GENERAL MOTORS,Cadillac,CTS AWD,4,MIDSIZE CARS,C,G,49,36913.8,22.8212684006037,20849,26.2019457234351
80,GENERAL MOTORS,Cadillac,DTS,5,LARGE CARS,C,G,49.9,46195.8,23.1788,40809,23.1947
81,GENERAL MOTORS,Cadillac,Escalade 2WD,11,SUV,T,G,54.4,56752.8,18.3485,7867,20.9917
82,GENERAL MOTORS,Cadillac,Escalade AWD,11,SUV,T,G,54.4,59358.9,18.2804,22340,20.5816
83,GENERAL MOTORS,Cadillac,Escalade ESV 2WD,11,SUV,T,G,61,60577.8,18.3485,1303,20.9917
84,General Motors,Cadillac,Funeral Coach/Hearse,5,LARGE CARS,C,G,50.0933333333333,51688.5,18.413,967,18.3084
85,General Motors,Cadillac,Limousine,5,LARGE CARS,C,G,50.0933333333333,51688.5,18.1635,664,18.3084
86,GENERAL MOTORS,Cadillac,SRX 2WD,11,SUV,T,G,50.2,38550.0130434783,21.4001451660065,8510,24.3694519707538
87,GENERAL MOTORS,Cadillac,SRX AWD,11,SUV,T,G,50.2,45824.4067004169,20.8709811366715,13432,22.8018218212672
88,GENERAL MOTORS,Cadillac,STS,4,MIDSIZE CARS,C,G,50.1,57228.4715040973,24.4710070260594,11349,26.2327549396811
89,GENERAL MOTORS,Cadillac,STS AWD,4,MIDSIZE CARS,C,G,50.1,46954.1339494163,24.1538049463435,6168,26.1114008626248
90,GENERAL MOTORS,Chevrolet,AVEO,8,COMPACT CARS,C,G,42.4,13782.24,34.3887140614564,34089,35.8436837279227
91,GENERAL MOTORS,Chevrolet,AVEO 5,7,SUBCOMPACT CARS,C,G,42.4,11783.04,34.8880222901559,21981,36.5410677730466
92,GENERAL MOTORS,Chevrolet,C15 Silverado 2WD 119WB,18,STANDARD PICKUP TRUCKS,T,G,55.9,23513.1583797129,21.0311416983913,47038.33,21.8733
93,GENERAL MOTORS,Chevrolet,C15 Silverado 2WD 133WB/134WB,18,STANDARD PICKUP TRUCKS,T,G,62.5790323400539,23582.6010373422,21.1812979779019,47016.31,19.63
94,GENERAL MOTORS,Chevrolet,C15 Silverado 2WD 143WB,18,STANDARD PICKUP TRUCKS,T,G,67.4,24678.4775410095,20.89990313748,87487.12,21.2553654529592
95,GENERAL MOTORS,Chevrolet,C15 Silverado 2WD 157WB,18,STANDARD PICKUP TRUCKS,T,G,73.9,25219.7461825425,21.1017972294347,4679.24,22.2229
96,GENERAL MOTORS,Chevrolet,C1500 Avalanche 2WD,11,SUV,T,G,61,34893.5313872799,20.2935051427998,17437,21.8768
97,GENERAL MOTORS,Chevrolet,C1500 Suburban 2WD,11,SUV,T,G,61,40244.0916585425,20.3051831254651,24823,21.8768
98,GENERAL MOTORS,Chevrolet,C1500 Tahoe 2WD,11,SUV,T,G,54.4,37013.2670324056,20.3220487796171,52460,22.0076
99,GENERAL MOTORS,Chevrolet,C1500 Tahoe Hybrid 2WD,11,SUV,T,G,54.4,51499.8,28.2089,2492,27.1095
100,GENERAL MOTORS,Chevrolet,Cobalt,7,SUBCOMPACT CARS,C,G,44.8,19840.4421402943,33.2805130013986,173079,35.7670028721915
101,GENERAL MOTORS,Chevrolet,Cobalt XFE,7,SUBCOMPACT CARS,C,G,44.8,19879.8,37.0931,3377,39.1786
102,GENERAL MOTORS,Chevrolet,Colorado 2WD,17,SMALL PICKUP TRUCKS,T,G,45.6982997850303,17277.3237685395,24.4015899699218,27374,26.2583952923064
103,GENERAL MOTORS,Chevrolet,Colorado 4WD,17,SMALL PICKUP TRUCKS,T,G,45.6982997850303,21493.5551381733,22.8107516829788,10675,23.7298858642299
104,GENERAL MOTORS,Chevrolet,Colorado Cab Chassis INC 2WD,17,SMALL PICKUP TRUCKS,T,G,45.6982997850303,20223.54,19.4065,178,21.7761
105,GENERAL MOTORS,Chevrolet,Colorado Cab Chassis INC 4WD,17,SMALL PICKUP TRUCKS,T,G,45.6982997850303,23436.54,20.9877,29,23.0102
106,GENERAL MOTORS,Chevrolet,Colorado Crew Cab 2WD,17,SMALL PICKUP TRUCKS,T,G,45.6982997850303,22707.9149103801,23.7866078827831,15231,25.1263534895945
107,GENERAL MOTORS,Chevrolet,Colorado Crew Cab 4WD,17,SMALL PICKUP TRUCKS,T,G,45.6982997850303,25602,20.9877,13076,22.5213731635557
108,GENERAL MOTORS,Chevrolet,Corvette,1,TWO SEATERS,C,G,46.3,52242.1011069886,22.9829001044828,32882,22.9644401304524
109,GENERAL MOTORS,Chevrolet,Equinox AWD,12,SUV,T,G,48.7,27739.6062196144,24.7892337122823,35790,28.761001126413
110,GENERAL MOTORS,Chevrolet,Equinox FWD,12,SUV,C,G,48.7,25629.6063893011,25.6314703441626,53912,32.5624590768262
111,GENERAL MOTORS,Chevrolet,G1500/2500 Express 2WD,16,VANS,T,G,63.5,25925.34,17.4606478570682,1502,21.0121057083106
112,GENERAL MOTORS,Chevrolet,G1500/2500 Express 2WD MDPV,16,VANS,T,G,63.5,27006.54,15.1876728565784,961,15
113,GENERAL MOTORS,Chevrolet,G1500/2500 Van CONV 2WD,16,VANS,T,G,63.5,25925.34,17.5293,1103,18.3469
114,GENERAL MOTORS,Chevrolet,H1500 Express AWD,16,VANS,T,G,63.5,29432.1,17.7589,929,18.3505027903008
115,GENERAL MOTORS,Chevrolet,H1500 Van CONV AWD,16,VANS,T,G,63.5,29432.1,17.7589,331,18.3618
116,GENERAL MOTORS,Chevrolet,HHR FWD,13,SUV,C,G,42.5,18071.6544126632,32.3481681442905,90025,32.4599073658712
117,GENERAL MOTORS,Chevrolet,HHR Panel FWD,13,SUV,C,G,42.5,18032.2238095238,32.5467393070992,9135,32.5149347952517
118,GENERAL MOTORS,Chevrolet,Impala,10,LARGE CARS,C,G,47.1,23032.2951170826,28.1849289320671,320116,28.9521476145324
119,GENERAL MOTORS,Chevrolet,K15 Silverado 4WD 119WB,18,STANDARD PICKUP TRUCKS,T,G,55.9,30875.6081755969,20.1653195469112,19817.66,18.8782634574829
120,GENERAL MOTORS,Chevrolet,K15 Silverado 4WD 133WB/134WB,18,STANDARD PICKUP TRUCKS,T,G,62.6667814280837,31842.1001422832,20.2195820934187,38079,20.6218328702993
121,GENERAL MOTORS,Chevrolet,K15 Silverado 4WD 143WB,18,STANDARD PICKUP TRUCKS,T,G,67.4,32772.823567781,20.2949787250019,134964.9,21.3769590715172
122,GENERAL MOTORS,Chevrolet,K15 Silverado 4WD 157WB,18,STANDARD PICKUP TRUCKS,T,G,73.9,32774.64,20.3900921341563,3731.44,20.8772592553356
123,GENERAL MOTORS,Chevrolet,K1500 Tahoe 4WD,11,SUV,T,G,54.4,40287.96,20.2962,55201,21.9832
124,GENERAL MOTORS,Chevrolet,K1500 Tahoe Hybrid 4WD,11,SUV,T,G,54.4,54360.9,25.9934,2728,27.198
125,GENERAL MOTORS,Chevrolet,K2500 Suburban MDPV,11,SUV,T,G,60.7,42367.3235623749,14.4,4407.01704331213,15.414097053997
126,GENERAL MOTORS,Chevrolet,Malibu,9,MIDSIZE CARS,C,G,46.9,22523.3348476682,28.7043473840983,124301,32.2976955695453
127,GENERAL MOTORS,Chevrolet,Malibu Hybrid,9,MIDSIZE CARS,C,G,46.9,26749.5,35.7228,1907,38.5815
128,GENERAL MOTORS,Chevrolet,Trailblazer 2WD,12,SUV,T,G,49,27054.5496495521,20.9198669791726,42089,24.7831
129,GENERAL MOTORS,Chevrolet,Trailblazer 4WD,12,SUV,T,G,49,29214.3681577446,20.3027091485267,66614,23.9575
130,Chrysler/Fiat,Chrysler,300 AWD,5,LARGE CARS,C,G,52.5416666666667,37065.4883060109,23.2111205095658,5490,24.059811269085
131,Chrysler/Fiat,Chrysler,300/SRT-8,5,LARGE CARS,C,G,52.5416666666667,29088.1491716687,25.9994475471286,70805,25.8800205158294
132,Chrysler/Fiat,Chrysler,Crossfire Coupe,1,TWO SEATERS,C,G,38.6859375,36322.2,26.3468426315212,821,26.3468426315212
133,Chrysler/Fiat,Chrysler,Crossfire Roadster,1,TWO SEATERS,C,G,38.6859375,40856.1,26.4049481092497,827,26.4049481092497
134,Chrysler/Fiat,Chrysler,Generic Mini Car,7,SUBCOMPACT CARS,C,G,40.8016977354539,26104.86,36.33965625,1,36.33965625
135,Chrysler/Fiat,Chrysler,PT Cruiser,13,SUV,C,G,41.4861111111111,20263.8774681225,27.6244608644303,65485,27.4701
136,Chrysler/Fiat,Chrysler,Sebring,9,MIDSIZE CARS,C,G,46.73625,20150.3543025883,30.9373562158272,50458,31.4937843249285
137,Chrysler/Fiat,Chrysler,Sebring Convertible,2,SUBCOMPACT CARS,C,G,46.73625,29742.1449118223,26.6911464345415,45930,26.9532117613115
138,Chrysler/Fiat,Chrysler,Town & Country 2WD,15,MINIVAN,T,G,54.6241666666667,27873.1096318629,24.3635061594186,151248,24.3627780409564
139,Chrysler/Fiat,Dodge,Avenger,9,MIDSIZE CARS,C,G,46.73625,20303.9863967449,30.5596111509612,134681,31.7027820720737
140,Chrysler/Fiat,Dodge,Caliber,9,MIDSIZE CARS,C,G,43.0643055555556,15488.7601248266,32.2215773170943,87962,32.3328622656531
141,Chrysler/Fiat,Dodge,Challenger,4,MIDSIZE CARS,C,G,50.7902777777778,38754.9,19.2963,6411,24.1636538846969
142,Chrysler/Fiat,Dodge,Charger,5,LARGE CARS,C,G,52.5416666666667,27480.0990709083,25.4996507499078,107632,25.7772371308592
143,Chrysler/Fiat,Dodge,Charger AWD,5,LARGE CARS,C,G,52.5416666666667,30931.0357952804,23.0722158027082,3263,24.0894966471976
144,Chrysler/Fiat,Dodge,Dakota Pickup 2WD,18,STANDARD PICKUP TRUCKS,T,G,57.3069791666667,27683.6812126388,20.8062438748983,14052,20.6179475791928
145,Chrysler/Fiat,Dodge,Dakota Pickup 4WD,18,STANDARD PICKUP TRUCKS,T,G,57.3069791666667,28804.8003961678,20.0952575105986,7724,20.8866333007921
146,Chrysler/Fiat,Dodge,Grand Caravan 2WD,15,MINIVAN,T,G,54.6241666666667,25809.1675650877,24.5012319197479,148223,24.4674838911733
147,Chrysler/Fiat,Dodge,Nitro 2WD,12,SUV,C,G,46.0888888888889,24068.9374364858,23.4950228087758,18303,23.209161787504
148,Chrysler/Fiat,Dodge,Nitro 4WD,12,SUV,T,G,46.0888888888889,25793.7965618142,22.1192258601886,30074,21.9034909167504
149,Chrysler/Fiat,Dodge,Ram 1500 Pickup 2WD 120WB,18,STANDARD PICKUP TRUCKS,T,G,56.8609375,23938.4204954715,20.0319638614631,33676.61,20.4887935094247
150,Chrysler/Fiat,Dodge,Ram 1500 Pickup 2WD 140WB,18,STANDARD PICKUP TRUCKS,T,G,66.2984375,26143.8375270575,18.6770281017169,66871.51,19.8089818304813
151,Chrysler/Fiat,Dodge,Ram 1500 Pickup 4WD 120WB,18,STANDARD PICKUP TRUCKS,T,G,56.8609375,30421.4197529916,18.3550026783913,9584.29,19.4772773027198
152,Chrysler/Fiat,Dodge,Ram 1500 Pickup 4WD 140WB,18,STANDARD PICKUP TRUCKS,T,G,66.2984375,30652.866990266,18.4221358279155,69417.53,19.5896383096516
153,Chrysler/Fiat,Dodge,Viper Convertible,19,TWO SEATERS,C,G,42.0243055555556,85674.9,19.898,587,19.898
154,Chrysler/Fiat,Dodge,Viper Coupe,19,TWO SEATERS,C,G,42.0243055555556,86439.9,19.898,795,19.898
155,Lotus,Elise,Elise / Exige,2,SUBCOMPACT CARS,C,G,36.6920969742063,56927.2928571429,29.6631182289213,252,29.783030761899
156,Ferrari,Ferrari,599 GTB Fiorano,19,LARGE CARS,C,G,49.0510416666667,318550.240555556,15.7018287711124,324,15.6936995774918
157,Ferrari,Ferrari,612 Scaglietti,19,MIDSIZE CARS,C,G,52.8496875,275902.295744681,14.5865608619686,94,14.585
158,Ford,Ford,Crown Victoria,5,LARGE CARS,C,G,51.4328655004185,28199.94,22.7961,9299,24.5198
159,Ford,Ford,Edge AWD,12,SUV,T,G,50.5941666666667,28930.26,22.9313,50229,24.6021
160,Ford,Ford,Edge FWD,12,SUV,C,G,50.5941666666667,30715.26,24.1996,78378,25.9109
161,Ford,Ford,Escape 4WD,14,SUV,T,G,43.4658333333333,25449.9311480571,25.4439833665087,98462,27.0763533194863
162,Ford,Ford,Escape FWD,14,SUV,C,G,43.4658333333333,23104.2826136308,27.4544931438837,121578,29.6477427952619
163,Ford,Ford,Escape Hybrid 4WD,14,SUV,T,G,43.4658333333333,29253.6,38.0277,12441,39.2694
164,Ford,Ford,Escape Hybrid FWD,14,SUV,C,G,43.4658333333333,27468.6,43.4087,16841,44.134
165,Ford,Ford,E-Series MDPV,16,VANS,T,G,65.2,28319.6690721649,14.9602688615268,919.559321102354,14.712106785764
166,Ford,Ford,E-Series Wagon MDPV,16,VANS,T,G,65.1,29495.381774744,15.9616537101948,3240.57760752737,14.2092582237242
167,Ford,Ford,Expedition,11,SUV,T,G,55.3728764548501,37758.36,18.362,28394,18.8997439320946
168,Ford,Ford,Explorer 2WD,12,SUV,T,G,48.4409375,30242.9037642892,20.7944253234822,31055,20.4702150146749
169,Ford,Ford,Explorer 4WD,12,SUV,T,G,48.4409375,32703.6103590439,19.406114964114,57486,19.6134444174145
170,Ford,Ford,Explorer Sport Trac 2WD,18,STANDARD PICKUP TRUCKS,T,G,55.8,27180.2538700587,20.7463083010016,13129,20.4935496914755
